story_group_id,story_type,value,title,thumbnail_id,disp_order,start_time,end_time
5001,5,10014,"初音的礼物大作战",0,1,"2018/03/31 15:00:00","2030/04/24 14:59:59"
5002,5,10016,"小小甜心冒险家",0,1,"2018/04/30 12:00:00","2030/04/24 14:59:59"
5003,5,10018,"吸血鬼猎人with伊莉亚",0,1,"2018/05/25 16:00:00","2030/04/24 14:59:59"
5004,5,10020,"危险假日！！ 海边的美食家公主",0,1,"2018/06/26 15:00:00","2030/04/24 14:59:59"
5005,5,10022,"珠希和美冬的无人岛0金币生活",0,1,"2018/07/26 15:00:00","2030/04/24 14:59:59"
5006,5,10024,"黑铁的亡灵（梦魇）",0,1,"2018/08/27 15:00:00","2030/04/24 14:59:59"
5007,5,10026,"不给布丁就捣蛋！约定的万圣节派对",0,1,"2018/09/26 15:00:00","2030/04/24 14:59:59"
5008,5,10028,"暮光破坏者",0,1,"2018/10/26 15:00:00","2030/04/24 14:59:59"
5009,5,10030,"忘却的圣歌",0,1,"2018/11/26 15:00:00","2030/04/24 14:59:59"
5010,5,10032,"新春的星之危机！",0,1,"2018/12/26 15:00:00","2030/04/24 14:59:59"
5011,5,10034,"バトルオブバレンタイン！　 想いぶつかるスウィートバトル",0,1,"2019/01/25 15:00:00","2030/04/24 14:59:59"
5012,5,10012,"王都的名侦探 叹息的追踪者（跟踪狂）",0,1,"2019/02/22 15:00:00","2030/04/24 14:59:59"
5013,5,10013,"在阿斯特朗盛开的双轮花",0,1,"2019/03/25 15:00:00","2030/04/24 14:59:59"
5015,5,10015,"ショーグン道中記　白翼のサムライ",0,1,"2019/04/24 15:00:00","2030/04/24 14:59:59"
5017,5,10017,"Re:ゼロから集まる異世界食卓",0,1,"2021/02/11 11:00:00","2030/04/24 14:59:59"
5019,5,10019,"スズナレインボー ステージ！",0,1,"2019/06/24 15:00:00","2030/04/24 14:59:59"
5021,5,10021,"真夏のマホマホ王国 波打ち際のソウルサマー！",0,1,"2019/07/25 15:00:00","2030/04/24 14:59:59"
5023,5,10023,"森の臆病者と聖なる学舎の異端児",0,1,"2019/08/26 15:00:00","2030/04/24 14:59:59"
5025,5,10025,"リトル・ブレイブ・ハロウィンナイト！",0,1,"2019/09/24 15:00:00","2030/04/24 14:59:59"
5027,5,10027,"ドラゴンエクスプローラーズ",0,1,"2019/10/25 15:00:00","2030/04/24 14:59:59"
5029,5,10029,"プレゼントパニック！　ランドソルのサンタたち",0,1,"2019/11/25 15:00:00","2030/04/24 14:59:59"
5031,5,10031,"激走！　ランドソルギルドレース",0,1,"2019/12/26 15:00:00","2030/04/24 14:59:59"
5033,5,10033,"魔法少女　二人はミスティ＆ピュアリー",0,1,"2020/01/24 15:00:00","2030/04/24 14:59:59"
