sekai_id,fix_reward_group_id,fix_reward_id,boss_total_damage,reward_type_1,reward_id_1,reward_num_1,reward_type_2,reward_id_2,reward_num_2,reward_type_3,reward_id_3,reward_num_3,reward_type_4,reward_id_4,reward_num_4,reward_type_5,reward_id_5,reward_num_5,reward_type_6,reward_id_6,reward_num_6,reward_type_7,reward_id_7,reward_num_7,reward_type_8,reward_id_8,reward_num_8,reward_type_9,reward_id_9,reward_num_9,reward_type_10,reward_id_10,reward_num_10
1001,1001100,1001102,"2000000000",8,91002,100,12,94002,100000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1001,1001100,1001104,"4000000000",8,91002,100,12,94002,100000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1001,1001100,1001106,"6000000000",8,91002,100,12,94002,100000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1001,1001100,1001108,"8000000000",8,91002,100,12,94002,100000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1001,1001100,1001110,"10000000000",8,91002,200,12,94002,200000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1002,1002100,1002105,"5000000000",8,91002,100,12,94002,200000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1002,1002100,1002110,"10000000000",8,91002,100,12,94002,200000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1002,1002100,1002115,"15000000000",8,91002,100,12,94002,200000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1002,1002100,1002120,"20000000000",8,91002,100,12,94002,400000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1002,1002100,1002125,"25000000000",8,91002,200,12,94002,500000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
