unit_id,unit_name,kana,prefab_id,is_limited,rarity,motion_type,se_type,move_speed,search_area_width,atk_type,normal_atk_cast_time,cutin_1,cutin_2,cutin1_star6,cutin2_star6,guild_id,exskill_display,comment,only_disp_owned,start_time,end_time
100101,"日和莉","日和莉",100101,0,1,1,1,450,200,1,2.295,100101,0,100101,0,7,0,"【物理】前卫，击退敌方前线，面带笑容的活力女生。\n攻击型角色，连结爆发可对前卫造成高等伤害，\n拥有强化自身攻击力的技能。",0,"2015/04/01 15:00:00","2030/12/31 15:00:00"
100201,"优衣","优衣",100201,0,1,7,7,450,800,2,2.27,100201,0,100201,0,7,0,"【魔法】位于最后列回复和辅助己方角色的魔法士。\n抗打击能力弱，但拥有很高的魔法攻击力，升级后\n攻击和辅助能力都将更具平衡感。",0,"2015/04/01 15:00:00","2030/12/31 15:00:00"
100301,"怜","怜",100301,0,1,4,4,450,250,1,1.965,100301,0,100301,0,7,0,"【物理】前卫，用单点突破的方式打击敌人，是一位孤高的剑士。\n善于用连结爆发和技能打倒眼前的敌人，\n能够使用攻击技能或反击\n来压制前线。",0,"2015/04/01 15:00:00","2030/12/31 15:00:00"
100401,"未奏希","未奏希",100401,0,1,1,1,450,205,1,2.17,100401,0,100401,0,13,0,"【物理】在最前列妨碍敌人物理攻击的恶作剧女孩。\n除了使眼前的敌人陷入黑暗状态，大幅降低命中率之外，\n还能通过技能降低一名敌人的物理攻击力。",0,"2015/04/01 15:00:00","2030/12/31 15:00:00"
100501,"茉莉","茉莉",100501,0,2,2,2,450,185,1,2.125,100501,0,100501,0,2,0,"【物理】前卫，凭借敏捷动作搅乱敌阵的骑士实习生。\n发动连结爆发跃入对方阵地中央，\n用攻击自身周围的技能对敌人发起进攻。",0,"2018/09/18 15:00:00","2030/12/31 15:00:00"
100601,"茜里","茜里",100601,0,2,6,6,450,570,2,2.19,100601,0,100601,0,14,0,"【魔法】中卫，负责强化魔法型队伍的双胞胎妹妹。\n可以使用大幅度降低敌人魔法防御力的技能、以及可提升\n魔法攻击力、并附带回复效果的连结爆发。",0,"2015/04/01 15:00:00","2030/12/31 15:00:00"
100701,"宫子","宫子",100701,0,2,3,3,450,125,1,1.7,100701,0,100701,0,14,0,"【物理】在最前列战斗，善于闪避敌人攻击的幽灵少女。\n运用技能变身为幽灵躲避敌人的攻击，\n再用连结爆发将敌人变成布丁后吃掉。",0,"2015/04/01 15:00:00","2030/12/31 15:00:00"
100801,"雪","雪",100801,0,2,7,7,450,805,2,2.07,100801,0,100801,0,12,0,"【魔法】后卫，作为物理型队伍的辅助，行走的艺术品。\n拥有使己方的连结爆发提早发动的技能，\n还能让敌人陷入黑暗状态，封印敌人的物理攻击。",0,"2015/04/01 15:00:00","2030/12/31 15:00:00"
100901,"杏奈","杏奈",100901,0,3,5,5,450,440,2,2.25,100901,0,100901,0,11,0,"【魔法】中卫，以压倒性的魔力进行攻击的疾风之冥姬。\n能用连结爆发给全体敌人造成高等伤害，\n但由于魔力过高，因此也对自身安全带来相应的风险。",0,"2015/04/01 15:00:00","2030/12/31 15:00:00"
101001,"真步","真步",101001,0,3,7,7,450,795,2,2.27,101001,0,101001,0,4,0,"【魔法】在后卫支援同伴的童话少女。\n用强化全体同伴、回复技能值的连结爆发，\n以及回复生命值、使敌人陷入黑暗的技能使战况好转。",0,"2015/04/01 15:00:00","2030/12/31 15:00:00"
