id,login_bonus_id,type,day_count,luck_pattern,rate,character_id,character_name,message,voice_id
1,60000,1,0,0,1,190804,"花凛","新年来临，要不要用抽签を\n来占卜一下新一天的运势呢？\n运势越好，\n越能获得大量的礼物哦♪",1
2,60000,2,0,1,1,0,"","今日运势是姬吉！　所有方面的运气都是最好的！　　　从现在开始跟随「传说中的吸血鬼」，征服世界不是梦！",0
3,60000,2,0,1,1,0,"","今日运势是姬吉！　做什么都很顺利！　超棒的对吧☆　幸运物是饭团！　吃得饱饱的，继续幸福下去吧！",0
4,60000,2,0,1,2,0,"","今日运势是姬吉！　运气如将军般势不可挡！　众人拜倒于你的威光之下，你就是最受欢迎的人！",0
5,60000,2,0,2,1,0,"","今日运势是大吉！　运气逐渐高涨！　　　　　不管做什么，都能以最高效率获得非常棒的结果♪",0
6,60000,2,0,2,1,0,"","今日运势是大吉！　不管做什么都会很顺利，很引人注目！　　　身后或许有人正看着如此出色的你哦……嘻嘻♪",0
7,60000,2,0,2,2,0,"","今日运势是大吉！　运气很好，不管挑战什么都会有好结果！似乎能展现出隐藏的才能！　向着秀菜……不，秀才前进吧！",0
8,60000,2,0,3,1,0,"","今日运势是中吉！　交易运提升！　　　　　　幸运物是鲷鱼烧！　日式点心的力量可以提高销售额！",0
9,60000,2,0,3,1,0,"","今日运势是中吉！　旅行运大幅上升♪　　　　　　　说不准还能去那个「真步真步王国」呢♪",0
10,60000,2,0,3,1,0,"","今日运势是中吉！　工作运急速上升！　　　　　　　　　肯定会像「刮过地狱的一阵疾风」一般活跃！",0
11,60000,2,0,3,1,0,"","今日运势是中吉！　等候机会就会有好结果！　　　　　　品尝幸运物布丁，召唤运气吧！",0
12,60000,2,0,3,2,0,"","今日运势是中吉！　运气逐渐上升！　　　　　　　　　　今天的你如有精灵所护，许多事情都会顺利起来♪",0
13,60000,2,0,4,1,0,"","今日运势是小吉！　一早开始就有幸运的征兆！　　　　　　　　　说不准会有温柔的姐姐叫醒你哦♪",0
14,60000,2,0,4,1,0,"","今日运势是小吉！　运气虽然在上升，但是上升期间要小心！　幸运动物是熊！　或许能像真正的家人一样守护你♪",0
15,60000,2,0,4,1,0,"","今日运势是小吉！　到外面悠闲度日的话可以提升运气！　　幸运地是牧场。说不定会有段有趣的邂逅♪",0
16,60000,2,0,4,1,0,"","今日运势是小吉！　运气很好，但要小心突发事件！　出门可能会被当成「可疑的人」……",0
17,60000,2,0,4,2,0,"","今日运势是小吉！　不要太拼命，放松一点就能获得好运！　幸运人物是偶像。歌曲可以给你带来幸福♪",0
18,60000,3,0,0,0,190804,"花凛","抽签结果如何？\n希望对你来说，新的一天\n会是美好的一天\n明天再来玩哦♪",2
19,60000,3,7,0,0,190804,"花凛","抽签玩得开心吗？\n我真心祝福你，希望\n新的一年对你来说，\n是美好的一年",3
20,80001,0,1,0,0,101201,"初音","和你相遇\n已经过了一年了呢！\n嗯～我一直\n都在睡觉，",1
21,80001,0,1,0,0,101201,"初音","所以希望能稍微\n减少一点睡眠时间，\n增加和你\n在一起的时间♪",2
22,80001,1,1,0,0,103801,"栞","认识你\n已经一年了……\n时间\n过得真快呢",1
23,80001,1,1,0,0,103801,"栞","要是明年也能\n和你在一起……\n我会很开心的",2
24,80001,0,2,0,0,103601,"镜华","和你在一起，\n已经一年了啊……",1
25,80001,0,2,0,0,103601,"镜华","你比刚开始的时候\n要可靠多了呢。我呢？\n有成长吗？",2
26,80001,1,2,0,0,102001,"美美","和哥哥相遇，\n已经一年了～！",1
