taq_no,unit_id_1,unit_id_2,unit_id_3,unit_id_4,unit_id_5,unit_id_6,unit_id_7,unit_id_8,unit_id_9,unit_id_10
1001,100701,0,0,0,0,0,0,0,0,0
1008,0,0,0,0,0,0,0,0,0,0
1010,102901,0,0,0,0,0,0,0,0,0
1011,105201,0,0,0,0,0,0,0,0,0
1012,104601,0,0,0,0,0,0,0,0,0
1013,101301,0,0,0,0,0,0,0,0,0
1014,111001,0,0,0,0,0,0,0,0,0
1015,104601,0,0,0,0,0,0,0,0,0
1016,106401,0,0,0,0,0,0,0,0,0
1017,103001,0,0,0,0,0,0,0,0,0
1018,106101,0,0,0,0,0,0,0,0,0
1019,103301,0,0,0,0,0,0,0,0,0
1020,103601,0,0,0,0,0,0,0,0,0
1021,102301,0,0,0,0,0,0,0,0,0
1022,106101,0,0,0,0,0,0,0,0,0
1023,110901,0,0,0,0,0,0,0,0,0
1067,0,0,0,0,0,0,0,0,0,0
1068,109301,0,0,0,0,0,0,0,0,0
1070,104501,0,0,0,0,0,0,0,0,0
1071,103001,0,0,0,0,0,0,0,0,0
1075,0,0,0,0,0,0,0,0,0,0
1076,0,0,0,0,0,0,0,0,0,0
1077,0,0,0,0,0,0,0,0,0,0
1078,0,0,0,0,0,0,0,0,0,0
1079,0,0,0,0,0,0,0,0,0,0
1080,0,0,0,0,0,0,0,0,0,0
1081,104301,0,0,0,0,0,0,0,0,0
1082,0,0,0,0,0,0,0,0,0,0
1083,0,0,0,0,0,0,0,0,0,0
1085,0,0,0,0,0,0,0,0,0,0
1086,0,0,0,0,0,0,0,0,0,0
1095,0,0,0,0,0,0,0,0,0,0
1096,100101,0,0,0,0,0,0,0,0,0
1099,101001,0,0,0,0,0,0,0,0,0
1100,0,0,0,0,0,0,0,0,0,0
1101,110801,0,0,0,0,0,0,0,0,0
1102,0,0,0,0,0,0,0,0,0,0
1104,0,0,0,0,0,0,0,0,0,0
1105,0,0,0,0,0,0,0,0,0,0
1106,0,0,0,0,0,0,0,0,0,0
1107,0,0,0,0,0,0,0,0,0,0
1115,0,0,0,0,0,0,0,0,0,0
1116,0,0,0,0,0,0,0,0,0,0
1117,0,0,0,0,0,0,0,0,0,0
1120,0,0,0,0,0,0,0,0,0,0
1121,0,0,0,0,0,0,0,0,0,0
1122,0,0,0,0,0,0,0,0,0,0
1123,0,0,0,0,0,0,0,0,0,0
1127,0,0,0,0,0,0,0,0,0,0
1130,0,0,0,0,0,0,0,0,0,0
1131,0,0,0,0,0,0,0,0,0,0
1132,0,0,0,0,0,0,0,0,0,0
1134,0,0,0,0,0,0,0,0,0,0
1136,0,0,0,0,0,0,0,0,0,0
1138,0,0,0,0,0,0,0,0,0,0
1140,107101,0,0,0,0,0,0,0,0,0
1141,0,0,0,0,0,0,0,0,0,0
1142,0,0,0,0,0,0,0,0,0,0
1146,0,0,0,0,0,0,0,0,0,0
1151,0,0,0,0,0,0,0,0,0,0
1153,0,0,0,0,0,0,0,0,0,0
1157,0,0,0,0,0,0,0,0,0,0
1164,107001,0,0,0,0,0,0,0,0,0
1166,102801,0,0,0,0,0,0,0,0,0
1168,0,0,0,0,0,0,0,0,0,0
1170,0,0,0,0,0,0,0,0,0,0
1171,105901,0,0,0,0,0,0,0,0,0
1172,0,0,0,0,0,0,0,0,0,0
1173,0,0,0,0,0,0,0,0,0,0
1174,105701,0,0,0,0,0,0,0,0,0
1175,100601,0,0,0,0,0,0,0,0,0
1176,111001,0,0,0,0,0,0,0,0,0
1178,0,0,0,0,0,0,0,0,0,0
1179,0,0,0,0,0,0,0,0,0,0
1180,0,0,0,0,0,0,0,0,0,0
1181,0,0,0,0,0,0,0,0,0,0
1182,0,0,0,0,0,0,0,0,0,0
1183,0,0,0,0,0,0,0,0,0,0
1184,0,0,0,0,0,0,0,0,0,0
1185,0,0,0,0,0,0,0,0,0,0
1186,0,0,0,0,0,0,0,0,0,0
1187,111001,0,0,0,0,0,0,0,0,0
1188,0,0,0,0,0,0,0,0,0,0
1189,0,0,0,0,0,0,0,0,0,0
1190,0,0,0,0,0,0,0,0,0,0
1191,0,0,0,0,0,0,0,0,0,0
1192,0,0,0,0,0,0,0,0,0,0
1193,0,0,0,0,0,0,0,0,0,0
1194,0,0,0,0,0,0,0,0,0,0
1195,102001,0,0,0,0,0,0,0,0,0
1196,0,0,0,0,0,0,0,0,0,0
1197,111401,0,0,0,0,0,0,0,0,0
1198,0,0,0,0,0,0,0,0,0,0
1199,0,0,0,0,0,0,0,0,0,0
1200,0,0,0,0,0,0,0,0,0,0
1201,0,0,0,0,0,0,0,0,0,0
1202,0,0,0,0,0,0,0,0,0,0
1203,0,0,0,0,0,0,0,0,0,0
1204,0,0,0,0,0,0,0,0,0,0
1205,0,0,0,0,0,0,0,0,0,0
1206,0,0,0,0,0,0,0,0,0,0
1207,0,0,0,0,0,0,0,0,0,0
1208,0,0,0,0,0,0,0,0,0,0
1209,0,0,0,0,0,0,0,0,0,0
1210,104301,0,0,0,0,0,0,0,0,0
1211,0,0,0,0,0,0,0,0,0,0
1212,0,0,0,0,0,0,0,0,0,0
1213,0,0,0,0,0,0,0,0,0,0
1214,102801,0,0,0,0,0,0,0,0,0
1215,0,0,0,0,0,0,0,0,0,0
1216,0,0,0,0,0,0,0,0,0,0
1217,0,0,0,0,0,0,0,0,0,0
1218,100701,0,0,0,0,0,0,0,0,0
1219,0,0,0,0,0,0,0,0,0,0
1220,0,0,0,0,0,0,0,0,0,0
1221,106801,0,0,0,0,0,0,0,0,0
1222,0,0,0,0,0,0,0,0,0,0
1223,101001,0,0,0,0,0,0,0,0,0
1224,0,0,0,0,0,0,0,0,0,0
1225,106001,0,0,0,0,0,0,0,0,0
1226,0,0,0,0,0,0,0,0,0,0
1227,0,0,0,0,0,0,0,0,0,0
1228,0,0,0,0,0,0,0,0,0,0
1229,0,0,0,0,0,0,0,0,0,0
1230,0,0,0,0,0,0,0,0,0,0
1231,103801,0,0,0,0,0,0,0,0,0
1232,100701,0,0,0,0,0,0,0,0,0
1233,102601,0,0,0,0,0,0,0,0,0
1234,0,0,0,0,0,0,0,0,0,0
1235,0,0,0,0,0,0,0,0,0,0
1236,0,0,0,0,0,0,0,0,0,0
1237,0,0,0,0,0,0,0,0,0,0
1238,0,0,0,0,0,0,0,0,0,0
1239,103301,0,0,0,0,0,0,0,0,0
